Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Black Beauty,1994,G,1994-07-29,88,"Adventure, Drama, Family",Caroline Thompson,"Anna Sewell (novel), Caroline Thompson (screenplay)","Docs Keepin Time, Alan Cumming, Sean Bean, David Thewlis","The fates of horses, and the people who own and command them, are revealed as Black Beauty narrates the circle of his life.",English,"USA, UK",1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMjEwNTc3NzI4NF5BMl5BanBnXkFtZTcwOTk3MDcyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",N/A,6.6,"8,178",tt0109279,movie,02 May 2005,N/A,N/A,N/A,True
Blink,1993,R,1994-01-26,106,"Crime, Drama, Mystery",Michael Apted,Dana Stevens,"Madeleine Stowe, Aidan Quinn, James Remar, Peter Friedman","Emma is a blind violinist who finally gets the opportunity to see. Meanwhile, a string of bizarre rapes and murders has taken place. All of the victims have had transplants within the last month. A coincidence, or is Emma next?",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMzcyNWE1YWMtN2VjYy00YTVmLWIyOTktNzQ2NTc1YjhiZDhlXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",N/A,6.2,"6,984",tt0109297,movie,07 Oct 2003,N/A,Sony Pictures Home Entertainment,N/A,True
Blown Away,1994,R,1994-07-01,121,"Action, Crime, Drama, Thriller",Stephen Hopkins,"John Rice (story), Joe Batteer (story), Jay Roach (story), Joe Batteer (screenplay), John Rice (screenplay)","Jeff Bridges, Tommy Lee Jones, Suzy Amis, Lloyd Bridges",An Irish bomber escapes from prison and targets a member of the Boston bomb squad.,"English, Irish",USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMmYxYzA1YjYtYTNlNS00YzY4LWFlMDMtZjA2MzA2YWJlM2Q0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",N/A,6.2,"25,520",tt0109303,movie,15 May 2001,N/A,MGM Home Entertainment,N/A,True
Blue Chips,1994,PG-13,1994-02-18,108,"Drama, Sport",William Friedkin,Ron Shelton,"Nick Nolte, Mary McDonnell, J.T. Walsh, Ed O'Neill",A college basketball coach is forced to break the rules in order to get the players he needs to stay competitive.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMTMwMzI3MDk0MV5BMl5BanBnXkFtZTcwMzMxMzgyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",54,6.1,"10,660",tt0109305,movie,29 Mar 2005,N/A,Paramount Home Video,N/A,True
Blue Sky,1994,PG-13,1994-09-16,101,"Drama, Romance",Tony Richardson,"Rama Laurie Stagner (story), Rama Laurie Stagner (screenplay), Arlene Sarner (screenplay), Jerry Leichtling (screenplay)","Jessica Lange, Tommy Lee Jones, Powers Boothe, Carrie Snodgress","Jessica Lange stars in a period drama about a family moving to a military base, and she quickly becomes part of a cover-up involving nuclear bomb tests.","English, French",USA,Won 1 Oscar. Another 3 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BNTQ1NTA3MTU5Ml5BMl5BanBnXkFtZTcwMzc3NDcyNA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",N/A,6.4,"5,782",tt0109306,movie,24 Oct 2006,N/A,Orion Home Video,N/A,True
Body Snatchers,1993,R,1993-06-09,87,"Horror, Sci-Fi",Abel Ferrara,"Jack Finney (novel), Raymond Cistheri (screen story), Larry Cohen (screen story), Stuart Gordon (screenplay), Dennis Paoli (screenplay), Nicholas St. John (screenplay)","Terry Kinney, Meg Tilly, Gabrielle Anwar, Reilly Murphy",A teenage girl and her father discover alien clones are replacing humans on a remote U.S. military base in Alabama.,English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BYmM4NWY1NGEtMjI5ZC00MmRkLWI1Y2QtNDg4NzMzNTI1MDYwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",N/A,5.9,"14,834",tt0106452,movie,21 Aug 2001,N/A,Warner Home Video,N/A,True
Boxing Helena,1993,R,1993-09-03,107,"Drama, Mystery, Romance",Jennifer Lynch,"Philippe Caland (story), Jennifer Lynch (screenplay)","Julian Sands, Sherilyn Fenn, Bill Paxton, Kurtwood Smith","A surgeon becomes obsessed with the seductive woman he once was in an affair with. Refusing to accept that she has moved on, he amputates her limbs and holds her captive in his mansion.",English,USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BYjdhOWE4MDMtZGM5Zi00Mzc1LTkyNWUtYWQ1ODU4NGEyZDhiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.6/10'}",26,4.6,"10,483",tt0106471,movie,10 Apr 2001,N/A,Orion Classics,http://www.mgm.com/view/movie/254/Boxing-Helena/,True
A Bronx Tale,1993,R,1993-10-01,121,"Crime, Drama",Robert De Niro,"Chazz Palminteri (play), Chazz Palminteri (screenplay)","Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,"English, Italian",USA,1 win & 3 nominations.,https://m.media-amazon.com/images/M/MV5BMTg2MTg5MTY0M15BMl5BanBnXkFtZTgwMjA5MDgxMTE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",80,7.8,"112,106",tt0106489,movie,25 May 1998,N/A,HBO Video,N/A,True
Cabin Boy,1994,PG-13,1994-01-07,80,"Adventure, Comedy, Romance",Adam Resnick,"Chris Elliott (story), Adam Resnick (story), Adam Resnick (screenplay)","Chris Elliott, Ritch Brinkley, James Gammon, Brian Doyle-Murray",A foul-mouthed finishing school graduate mistakenly winds up on an ill-fated fishing boat and faces the wrath of a crew that considers him bad luck.,English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BMTIwMjk3OTczNF5BMl5BanBnXkFtZTYwNjM4Mjg5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",21,5.2,"7,474",tt0109361,movie,03 Sep 2002,N/A,Buena Vista Pictures,N/A,True
Calendar Girl,1993,PG-13,1993-09-03,90,"Drama, Comedy",John Whitesell,Paul W. Shapiro,"Jason Priestley, Gabriel Olds, Jerry O'Connell, Joe Pantoliano","Three young men go on an end of the summer trip to Hollywood, California. Their quest: to fulfill the fantasy of meeting Marilyn Monroe.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BOWJmYWExN2MtMmI3Ni00ZDIzLThkN2ItYzlhNmUyOGExYzM2XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.0/10'}",N/A,5.0,"1,955",tt0106505,movie,16 Feb 1994,N/A,Sony Pictures Home Entertainment,N/A,True
Carlito's Way,1993,R,1993-11-12,144,"Crime, Drama, Thriller",Brian De Palma,"Edwin Torres (novels), David Koepp (screenplay)","Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.","English, Spanish",USA,Nominated for 2 Golden Globes. Another 1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BN2I2N2Q1YmMtMzZkMC00Y2JjLWJmOWUtNjc2OTM2ZTk1MjUyXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.9/10'}",N/A,7.9,"180,861",tt0106519,movie,26 May 1998,N/A,MCA Universal Home Video,N/A,True
City Slickers II: The Legend of Curly's Gold,1994,PG-13,1994-06-10,116,"Comedy, Western",Paul Weiland,"Lowell Ganz (characters), Babaloo Mandel (characters), Billy Crystal, Lowell Ganz, Babaloo Mandel","Billy Crystal, Daniel Stern, Jon Lovitz, Jack Palance","one year after their first western adventure, Mitch Robbins and his friends discover a treasure map that belonged to their late trail guide Curly and they set out to discover its secrets.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BZjQ3NzM2NjctN2JjMy00M2NmLWJmMGItY2UxYjAzYWFhYmI1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",43,5.5,"16,556",tt0109439,movie,01 Apr 2003,N/A,Sony Pictures Home Entertainment,N/A,True
Clean Slate,1994,PG-13,1994-05-06,107,"Comedy, Mystery",Mick Jackson,Robert King,"Dana Carvey, Valeria Golino, James Earl Jones, Kevin Pollak",A private eye who suffers total amnesia every 24h is deeply entangled in a complicated murder/theft case.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNmFkYTUzMzctZjczNy00M2VhLWJhOGMtZjllNjQzM2NiZGQ4XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",N/A,5.7,"3,353",tt0109443,movie,08 Oct 2002,N/A,MGM Home Entertainment,N/A,True
Cliffhanger,1993,R,1993-05-28,113,"Action, Adventure, Thriller",Renny Harlin,"John Long (premise), Michael France (screen story), Michael France (screenplay), Sylvester Stallone (screenplay)","Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner",A botched mid-air heist results in suitcases full of cash being searched for by various groups throughout the Rocky Mountains.,English,"USA, Italy, France",Nominated for 3 Oscars. Another 1 win & 9 nominations.,https://m.media-amazon.com/images/M/MV5BNjU5YmFjMjctYThkOS00MTQyLThjZmMtOWIyYzk2ZjU0ODkxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",60,6.4,"107,607",tt0106582,movie,11 Nov 1997,N/A,Sony Pictures Home Entertainment,N/A,True
Coneheads,1993,PG,1993-07-23,88,"Comedy, Sci-Fi",Steve Barron,"Tom Davis, Dan Aykroyd, Bonnie Turner, Terry Turner","Robert Knott, Jonathan Penner, Whip Hubley, Dan Aykroyd",Aliens with conical crania crash-land on Earth.,English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BYTNjNGM5OTktM2Q1Zi00YTFmLWJlYzUtMTMyMzgzNjNlNmQzL2ltYWdlXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",49,5.3,"45,708",tt0106598,movie,17 Apr 2001,N/A,Paramount Vantage,http://www.paramountvantage.com/,True
Color of Night,1994,R,1994-08-19,121,"Mystery, Romance, Thriller",Richard Rush,"Billy Ray (story), Matthew Chapman (screenplay), Billy Ray (screenplay)","Bruce Willis, Jane March, Rubén Blades, Lesley Ann Warren","A color-blind psychiatrist Bill Capa is stalked by an unknown killer after taking over his murdered friend's therapy group, all of whom have a connection to a mysterious young woman that Capa begins having intense sexual encounters with.",English,USA,Nominated for 1 Golden Globe. Another 2 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BZTk3N2MyZjQtODRlMS00ZTc0LTllMzUtY2I2ODU5N2Q4OGZlXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",N/A,5.1,"20,508",tt0109456,movie,15 May 2001,N/A,Buena Vista,N/A,True
Cops and Robbersons,1994,PG,1994-04-15,93,"Comedy, Crime, Thriller",Michael Ritchie,Bernie Somers,"Chevy Chase, Jack Palance, Dianne Wiest, Robert Davi","When police discover that a mob hitman has moved in next door to the Robbersons, they want to find out what he is up to. So they set up a stakeout in the Robbersons' home. Hard-nosed, ...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMjcxM2VkZDEtYmExZi00ODRhLWI3NGItNjZiM2IxOGQxODM5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.0/10'}",N/A,5.0,"5,691",tt0109480,movie,12 Jun 2001,N/A,Sony Pictures Home Entertainment,N/A,True
The Cowboy Way,1994,PG-13,1994-06-03,102,"Action, Comedy, Crime",Gregg Champion,"Robert C. Thompson (story), William D. Wittliff (story), William D. Wittliff (screenplay)","Woody Harrelson, Kiefer Sutherland, Dylan McDermott, Ernie Hudson","As they visit New York City, a pair of cowboys have to become unlikely heroes when their friend is kidnapped.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BN2RhMTExNmQtYWY0OC00OWE5LThlODEtZDBhMTBiZDFiMDIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",N/A,5.8,"7,007",tt0109493,movie,17 Jan 2006,N/A,VCI,N/A,True
Dave,1993,PG-13,1993-05-07,110,"Comedy, Romance",Ivan Reitman,Gary Ross,"Kevin Kline, Sigourney Weaver, Frank Langella, Kevin Dunn","To avoid a potentially explosive scandal when the U.S. President goes into a coma, an affable temp agency owner with an uncanny resemblance is put in his place.","English, Spanish",USA,Nominated for 1 Oscar. Another 2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOGVlM2I0NDUtYjQ4ZC00NTJjLTkzZGUtZGM5NGZjZDQwOWZkXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",N/A,6.8,"44,361",tt0106673,movie,28 Apr 1998,N/A,Warner Bros.,N/A,True
Dazed and Confused,1993,R,1994-02-10,102,Comedy,Richard Linklater,Richard Linklater,"Jason London, Joey Lauren Adams, Milla Jovovich, Shawn Andrews",The adventures of high school and junior high students on the last day of school in May 1976.,English,USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BMTM5MDY5MDQyOV5BMl5BanBnXkFtZTgwMzM3NzMxMDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.7/10'}",78,7.7,"142,542",tt0106677,movie,30 Jun 1998,N/A,Gramercy Pictures,N/A,True
Demolition Man,1993,R,1993-10-08,115,"Action, Crime, Sci-Fi",Marco Brambilla,"Peter M. Lenkov (story), Robert Reneau (story), Daniel Waters (screenplay), Robert Reneau (screenplay), Peter M. Lenkov (screenplay)","Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne",A police officer is brought out of suspended animation in prison to pursue an old ultra-violent nemesis who is loose in a non-violent future society.,English,USA,1 win & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMDBmNDhjOTYtZWVlMC00YzUwLWIyZjEtYzFjMWM5OTdiZDJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",34,6.6,"140,229",tt0106697,movie,30 Sep 1997,N/A,Warner Home Video,N/A,True
Even Cowgirls Get the Blues,1993,R,1994-05-20,95,"Comedy, Drama, Romance",Gus Van Sant,"Tom Robbins (novel), Gus Van Sant (screenplay)","Uma Thurman, Lorraine Bracco, Pat Morita, Angie Dickinson","Sissy Hankshaw is born with enormous thumbs that help her hitchhiking through the U.S. from a young age. She becomes a model in advertising, and her New York agent, ""the Countess"", sends ...","English, German",USA,4 nominations.,https://m.media-amazon.com/images/M/MV5BMTIzMjY3MDY4Ml5BMl5BanBnXkFtZTcwMjY2MzcyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.3/10'}",28,4.3,"6,524",tt0106834,movie,02 Nov 2004,N/A,Fine Line Features,N/A,True
Fatal Instinct,1993,PG-13,1993-10-29,91,"Comedy, Crime, Thriller",Carl Reiner,David O'Malley,"Armand Assante, Sherilyn Fenn, Kate Nelligan, Sean Young","A spoof of the late 80s and early 90s suspense thrillers and murder mysteries, including Basic Instinct, Sleeping With The Enemy, Cape Fear and others. A cop/attorney (yes he's both) is ...","English, Yiddish",USA,N/A,https://m.media-amazon.com/images/M/MV5BMTNlYzhmNmUtYjdiMC00NGQ4LWFkYTItZGNiNmQ4YmEwZDc5XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",N/A,5.7,"6,048",tt0106873,movie,01 Apr 2003,N/A,MGM Home Entertainment,N/A,True
Farewell My Concubine,1993,R,1993-10-15,171,"Drama, Music, Romance",Kaige Chen,"Pik Wah Lee (novel), Pik Wah Lee (screenplay), Wei Lu","Leslie Cheung, Fengyi Zhang, Li Gong, Qi Lü","The story of two men, who met as apprentices in the Peking Opera, and stayed friends for over 50 years.",Mandarin,"China, Hong Kong",Nominated for 2 Oscars. Another 18 wins & 7 nominations.,"https://m.media-amazon.com/images/M/MV5BMzg2NDI4MTM5OF5BMl5BanBnXkFtZTYwODU0ODU5._V1._CR18,0,254,401_SX89_AL_.jpg_V1_SX300.jpg","{'Source': 'Internet Movie Database', 'Value': '8.1/10'}",N/A,8.1,"20,750",tt0106332,movie,14 Dec 1999,N/A,Miramax,N/A,True
Fearless,1993,R,1993-11-05,122,"Drama, Thriller",Peter Weir,"Rafael Yglesias (novel), Rafael Yglesias (screenplay)","Jeff Bridges, Isabella Rossellini, Rosie Perez, Tom Hulce",A man's personality is dramatically changed after surviving a major airline crash.,English,USA,Nominated for 1 Oscar. Another 6 wins & 7 nominations.,https://m.media-amazon.com/images/M/MV5BZGYyYzgyODMtOGYwOC00OTM5LTk4NDUtNTRkN2I3YmUxNTM5XkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.1/10'}",N/A,7.1,"19,237",tt0106881,movie,18 May 1999,N/A,Warner Bros. Pictures,N/A,True
Fear of a Black Hat,1993,R,1994-06-03,88,"Comedy, Music",Rusty Cundieff,Rusty Cundieff,"Mark Christopher Lawrence, Larry B. Scott, Rusty Cundieff, Kasi Lemmons","A mockumentary chronicling the rise and fall of NWH, a not particularly talented--or particularly bright but always controversial--hip-hop group.",English,"USA, UK",1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxOTE5Mzk1M15BMl5BanBnXkFtZTcwNTAzMTAwMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",N/A,7.2,"3,489",tt0106880,movie,08 Jul 2003,N/A,Samuel Goldwyn Company,N/A,True
With Honors,1994,PG-13,1994-04-29,101,"Comedy, Drama",Alek Keshishian,William Mastrosimone,"Joe Pesci, Brendan Fraser, Moira Kelly, Patrick Dempsey","Convinced his thesis will have him graduate with honors from Harvard University, a stuffy student finds himself at the mercy of a homeless man's demands when he holds the papers hostage.",English,USA,Nominated for 1 Golden Globe. Another 3 nominations.,https://m.media-amazon.com/images/M/MV5BMmY3NjE0N2EtZWJiMS00ZTM4LWFkOTMtZTJmMTIyZjc2YmU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",N/A,6.7,"12,067",tt0111732,movie,18 May 1999,N/A,Warner Home Video,N/A,True
Flesh and Bone,1993,R,1993-11-05,126,"Drama, Mystery, Romance",Steve Kloves,Steve Kloves,"Julia McNeal, Ron Kuhlman, Jerry Swindall, Ryan Bohls","Around thirty years after Arlis witnessed his father murdering a family, he runs into Kay, who happens to be the family's baby, who was spared. Kay and Arlis suspect nothing about each ...",English,USA,1 nomination.,https://m.media-amazon.com/images/M/MV5BMzEzNTA3N2MtNzEyNC00ZDA3LTkwNGMtYWEyODRlNjZhZDQ0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.3/10'}",N/A,6.3,"4,407",tt0106926,movie,16 Apr 2002,N/A,Paramount Home Video,N/A,True
Widows' Peak,1994,PG,1994-05-13,101,"Comedy, Crime, Mystery",John Irvin,"Hugh Leonard (story), Hugh Leonard (screenplay)","Mia Farrow, Joan Plowright, Natasha Richardson, Adrian Dunbar","Edwina has just moved into the neighborhood known as ""Widows' Peak,"" so called due to the prevalent marital status of the residents, who tend to be a rather exclusive bunch. The residents ...","Irish, English","UK, Ireland",2 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTA3Nzg4NF5BMl5BanBnXkFtZTcwOTUwMjgyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",N/A,6.8,"1,406",tt0111712,movie,19 Apr 2005,N/A,Sony Pictures Home Entertainment,N/A,True
For Love or Money,1993,PG,1993-10-01,96,"Comedy, Drama, Romance",Barry Sonnenfeld,"Mark Rosenthal, Lawrence Konner","Michael J. Fox, Gabrielle Anwar, Anthony Higgins, Michael Tucker","Doug is a young man who works all day as a concierge at a luxurious hotel, saving money to make his own business. Unfortunately, when he finds the financial supporter he needs, he discovers...",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjg1NGE4YjQtNGU3Yi00ZWJiLWFkZGYtY2Y2YTE0Njc3YTdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",N/A,6.1,"10,510",tt0106941,movie,12 Aug 2003,N/A,MCA Universal Home Video,N/A,True
The Firm,1993,R,1993-06-30,154,"Drama, Mystery, Thriller",Sydney Pollack,"John Grisham (novel), David Rabe (screenplay), Robert Towne (screenplay), David Rayfiel (screenplay)","Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook",A young lawyer joins a prestigious law firm only to discover that it has a sinister dark side.,English,USA,Nominated for 2 Oscars. Another 3 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BMTgxMjM5NDYwM15BMl5BanBnXkFtZTgwODkzMzk5MDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",58,6.8,"101,922",tt0106918,movie,23 May 2000,N/A,Paramount Pictures,N/A,True
Free Willy,1993,PG,1993-07-16,112,"Adventure, Drama, Family",Simon Wincer,"Keith Walker (story), Keith Walker (screenplay), Corey Blechman (screenplay)","Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg","When a boy learns that a beloved killer whale is to be killed by the aquarium owners, the boy risks everything to free the whale.",English,"USA, France",7 wins & 2 nominations.,https://m.media-amazon.com/images/M/MV5BMjZmZjM1NWEtYTllYy00NmIyLWEzN2EtZmQ5Yjk1ODAyZmE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",79,5.9,"59,448",tt0106965,movie,05 Jun 2001,N/A,Warner Bros. Pictures,N/A,True
Fresh,1994,R,1994-09-02,114,"Crime, Drama, Thriller",Boaz Yakin,Boaz Yakin,"Sean Nelson, Giancarlo Esposito, Samuel L. Jackson, N'Bushe Wright","Death and violence anger a twelve-year-old drug courier, who sets his employers against each other.",English,"USA, France",4 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BODVhZjZhOGYtMTg5OC00YjllLWEwNTMtNmUyMWExMmU0MTJlXkEyXkFqcGdeQXVyMTk0MjQ3Nzk@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.6/10'}",81,7.6,"10,751",tt0109842,movie,05 Feb 2002,N/A,Miramax,N/A,True
The Fugitive,1993,PG-13,1993-08-06,130,"Action, Crime, Drama",Andrew Davis,"Jeb Stuart (screenplay), David Twohy (screenplay), David Twohy (story), Roy Huggins (characters)","Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt lead by a seasoned US Marshall.","English, Polish, Spanish",USA,Won 1 Oscar. Another 11 wins & 33 nominations.,https://m.media-amazon.com/images/M/MV5BYmFmOGZjYTItYjY1ZS00OWRiLTk0NDgtMjQ5MzBkYWE2YWE0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",87,7.8,"237,431",tt0106977,movie,24 Nov 1998,N/A,Warner Bros. Pictures,N/A,True
Geronimo: An American Legend,1993,PG-13,1993-12-10,115,"Drama, History, Western",Walter Hill,"John Milius (story), John Milius (screenplay), Larry Gross (screenplay)","Jason Patric, Gene Hackman, Robert Duvall, Wes Studi",The story of the Apache chief and his armed resistance to the U.S. Government's subjugation of his people.,English,USA,Nominated for 1 Oscar. Another 1 win & 1 nomination.,https://m.media-amazon.com/images/M/MV5BMTc2MDY2NjM1OF5BMl5BanBnXkFtZTYwMDE0NzQ5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",N/A,6.5,"7,505",tt0107004,movie,17 Nov 1998,N/A,Sony Pictures Home Entertainment,N/A,True
The Getaway,1994,R,1994-02-11,115,"Action, Adventure, Crime",Roger Donaldson,"Jim Thompson (novel), Walter Hill (screenplay), Amy Holden Jones (screenplay)","Alec Baldwin, Kim Basinger, Michael Madsen, James Woods",An ex-con and his devoted wife must flee from danger when a heist doesn't go as planned.,English,"USA, Japan",3 nominations.,https://m.media-amazon.com/images/M/MV5BNGY5YjhmMjYtMGMwZS00ZjUyLTk1NWMtNTA5YWVhM2I5MjE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",51,5.7,"15,376",tt0109890,movie,26 May 1998,N/A,Universal,N/A,True
Getting Even with Dad,1994,PG,1994-06-17,109,"Comedy, Crime, Family",Howard Deutch,"Tom S. Parker, Jim Jennewein","Macaulay Culkin, Ted Danson, Glenne Headly, Saul Rubinek",A thief's son cons his father into spending more time with him.,English,USA,2 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMmY3NGRhM2MtY2UwZi00ZTNkLTljNTYtYjc4ZWE1OTQ3YjBhXkEyXkFqcGdeQXVyMzM4MjM0Nzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.6/10'}",N/A,4.6,"6,430",tt0109891,movie,06 Mar 2001,N/A,MGM Home Entertainment,N/A,True
Go Fish,1994,R,1994-07-08,83,"Drama, Romance",Rose Troche,"Rose Troche, Guinevere Turner","V.S. Brodie, Guinevere Turner, T. Wendy McMillan, Migdalia Melendez","Max is a trendy, pretty, young lesbian, who is having trouble finding love. A friend sets her up with Ely, whom Max likes, but Ely is frumpy, homely, and older. Nor do they have much in ...",English,USA,4 wins & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjEwODAzMzM5N15BMl5BanBnXkFtZTcwMDcxNjEyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",N/A,5.6,"1,743",tt0109913,movie,24 Jul 2001,N/A,Hallmark Entertainment,N/A,True
Hard Target,1993,R,1993-08-20,97,"Action, Thriller",John Woo,Chuck Pfarrer,"Chuck Pfarrer, Robert Apisa, Arnold Vosloo, Lance Henriksen","A woman hires a drifter as her guide through New Orleans in search of her father, who has gone missing. They discover a deadly game of cat and mouse behind his disappearance in the process.","English, French",USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BOTUxNmZiOWQtOWFmMy00YTU1LTkzMGItOTRhZDA0ZDAwMDE5XkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",N/A,6.1,"39,408",tt0107076,movie,30 Jun 1998,N/A,MCA Universal Home Video,N/A,True
